Status: 15.11.2023,,,Substation_1,,Longitude_Substation_1,Latitude_Substation_1,Substation_2,,Longitude_Substation_2,Latitude_Substation_2,,Maximum Current Imax (A),,,,,,,Dynamic line rating (DLR),,Electrical Parameters,,,,
NE_name,EIC_Code,TSO,Full_name,Short_name,,,Full_name,Short_name,,,Voltage_level(kV),Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Fixed,DLRmin(A),DLRmax(A),Resistance_R(Ω),Reactance_X(Ω),Susceptance_B(μS),Length_(km),Comment
Hagenwerder - Schmölln 554,11TD8L554------3,50HERTZ,Hagenwerder,D8HGW_1,14.9462,51.0621,Schmölln,D8SM__1,14.2193,51.1205,380,,,,,,,2500,,,1.65,14.50,252.301,56.66,
Schmölln - Dresden/Süd 555,11TD8L555------W,50HERTZ,Schmölln,D8SM__1,14.2193,51.1205,Dresden/Süd,D8DRS_1,13.8408,50.9895,380,,,,,,,2500,,,1.00,9.39,163.049,36.55,
Schmölln - Dresden/Süd 556,11TD8L556------O,50HERTZ,Schmölln,D8SM__1,14.2193,51.1205,Dresden/Süd,D8DRS_1,13.8408,50.9895,380,,,,,,,2500,,,1.00,9.39,163.049,36.55,
Bärwalde - Streumen 557,11TD8L557------G,50HERTZ,Bärwalde,D8BAE_1,14.5074,51.4134,Streumen,D8STR_1,13.3823,51.3567,380,,,,,,,2520,,,2.58,24.18,404.354,93.78,
Bärwalde - Streumen 558,11TD8L558------8,50HERTZ,Bärwalde,D8BAE_1,14.5074,51.4134,Streumen,D8STR_1,13.3823,51.3567,380,,,,,,,2520,,,2.58,24.18,404.354,93.78,
Preilack - Altdöbern 559,11T0-0000-0948-H,50HERTZ,Preilack,D8PRL_1,14.4286,51.8881,Altdöbern,D8ADB_1,14,51.64,380,,,,,,,2040,,,1.25,13.43,224.099,50.51,
Preilack - Streumen 560,11TD8L560------Q,50HERTZ,Preilack,D8PRL_1,14.4286,51.8881,Streumen,D8STR_1,13.3823,51.3567,380,,,,,,,2040,,,3.00,32.39,537.904,121.22,
Ragow - Streumen 561,11T0-0000-0043-3,50HERTZ,Ragow,D8RAG_1,13.9057,51.876,Streumen,D8STR_1,13.3823,51.3567,380,,,,,,,2504,,,2.94,22.61,385.002,88.72,
Ragow - Streumen 562,11TD8L562------A,50HERTZ,Ragow,D8RAG_1,13.9057,51.876,Streumen,D8STR_1,13.3823,51.3567,380,,,,,,,2504,,,2.94,22.61,385.002,88.72,
Graustein - Bärwalde 565,11TD8L565------N,50HERTZ,Graustein,D8GRS_1,14.4692,51.5544,Bärwalde,D8BAE_1,14.5074,51.4134,380,,,,,,,2520,2520,3150,0.67,5.59,96.415,21.80,
Graustein - Bärwalde 566,11TD8L566------F,50HERTZ,Graustein,D8GRS_1,14.4692,51.5544,Bärwalde,D8BAE_1,14.5074,51.4134,380,,,,,,,2520,2520,3150,0.67,5.59,96.415,21.80,
Streumen - Röhrsdorf 571,11TD8L571------9,50HERTZ,Streumen,D8STR_1,13.3823,51.3567,Röhrsdorf,D8ROE_1,12.811,50.859,380,,,,,,,2504,2504,3150,2.65,19.84,385.788,82.81,
Streumen - Röhrsdorf 572,11TD8L572------1,50HERTZ,Streumen,D8STR_1,13.3823,51.3567,Röhrsdorf,D8ROE_1,12.811,50.859,380,,,,,,,2504,2504,3150,2.65,19.84,385.788,82.81,
Röhrsdorf - Weida 573,11TD8L573------U,50HERTZ,Röhrsdorf,D8ROE_1,12.811,50.859,Weida,D8WD__1,12.0452,50.7805,380,,,,,,,2504,,,2.58,15.61,270.742,61.65,
Remptendorf - Röhrsdorf 574,11TD8L574------M,50HERTZ,Remptendorf,D8RE__1,11.6465,50.5336,Röhrsdorf,D8ROE_1,12.811,50.859,380,,,,,,,2504,,,4.27,25.79,459.835,103.40,
Remptendorf - Weida 575,11TD8L575------E,50HERTZ,Remptendorf,D8RE__1,11.6465,50.5336,Weida,D8WD__1,12.0452,50.7805,380,,,,,,,2504,,,1.84,11.10,207.408,45.51,
Streumen - Eula 585,11TD8L585------5,50HERTZ,Streumen,D8STR_1,13.3823,51.3567,Eula,D8EU__1,12.5171,51.1565,380,,,,,,,2520,,,2.95,22.14,356.696,84.36,
Streumen - Eula 586,11TD8L586------Y,50HERTZ,Streumen,D8STR_1,13.3823,51.3567,Eula,D8EU__1,12.5171,51.1565,380,,,,,,,2520,,,2.95,22.14,356.696,84.36,
Eula - Pulgar 587,11TD8L587------Q,50HERTZ,Eula,D8EU__1,12.5171,51.1565,Pulgar,D8PUL_1,12.337,51.1972,380,,,,,,,2720,,,0.76,4.99,90.855,20.19,
Eula - Pulgar 588,11TD8L588------I,50HERTZ,Eula,D8EU__1,12.5171,51.1565,Pulgar,D8PUL_1,12.337,51.1972,380,,,,,,,2720,,,0.76,4.99,90.855,20.19,
Pulgar - Vieselbach 589,11TD8L589------A,50HERTZ,Pulgar,D8PUL_1,12.337,51.1972,Vieselbach,D8VIB_1,11.1241,51.0003,380,,,,,,,2520,,,3.26,27.31,441.080,104.40,
Pulgar - Vieselbach 590,11TD8L590-----0Y,50HERTZ,Pulgar,D8PUL_1,12.337,51.1972,Vieselbach,D8VIB_1,11.1241,51.0003,380,,,,,,,2520,,,3.26,27.31,441.080,104.40,
